	created_at	id	in_reply_to_status_id	in_reply_to_screen_name	source	retweeted	retweet_count	favorite_count	screen_name	hashtags	text
20	Wed Nov 06 03:07:05 +0000 2013	397923061401653248	3.97915349565e+17	christian555	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	1	0			@christian555 @androidandme Will the new #NEXUS10 have memory card slot Christian? Toss up between it and Galaxy Tab 10.1
21	Wed Nov 06 03:02:22 +0000 2013	397921872165105664			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 (2013) Sleeve | TURBOCHARGED | http://t.co/jDitWA5v2Y | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
22	Wed Nov 06 02:42:20 +0000 2013	397916833623191553			"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>"	False	0	0			【Nexusちゃんねる】 2013版Nexus10惊现采用三星Note3独有配置 - IT商业新闻网 http://t.co/mOfZiyqa9w http://t.co/c9iQlHw7F3
23	Wed Nov 06 02:31:21 +0000 2013	397914066527989760			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 )2013) Leather Sleeve | RUM DIARY | http://t.co/QJzla6oon0 | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10...
24	Wed Nov 06 02:31:17 +0000 2013	397914049847234560			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 (2013) Felt Sleeve | LACE | http://t.co/Mh6uTCxtKD | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
25	Wed Nov 06 02:17:30 +0000 2013	397910583598907392			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 Leather Sleeve | SLIDER | http://t.co/Zi1yZP3uab | | #Nexus10Cover #Nexus10Sleeve #Nexus10Portel #Nexus10Leather #Nexus10
26	Wed Nov 06 02:17:29 +0000 2013	397910577806589952			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 2013 Leather Sleeve | FLATTERING | http://t.co/oFSuxMCfbz| #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
27	Wed Nov 06 02:17:28 +0000 2013	397910573297704960			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 (2013) Leather Sleeve | Spin me... http://t.co/uu0oAVrSc5 | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
28	Wed Nov 06 02:17:26 +0000 2013	397910566553276416			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 (2013) Leather Sleeve | NELLY http://t.co/Gco0G1qBnv | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
29	Wed Nov 06 02:17:24 +0000 2013	397910557032218624			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 (2013) Sleeve | TURBOCHARGED | http://t.co/K8w8o7psKW | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
30	Wed Nov 06 02:17:21 +0000 2013	397910545221058560			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 7 (2013) Sleeve/Case | TURBOCHARGED | http://t.co/X1hkZ4UD7Y | #nexus #nexus7 #nexus10 #sleeve #leather #organic #handmade #handcraft
31	Wed Nov 06 02:16:21 +0000 2013	397910293361467392			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 (2013) Leather Sleever | EDUARDO | http://t.co/9dfqEeBqc1 | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
32	Wed Nov 06 02:16:09 +0000 2013	397910244833394688			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 Leather Sleeve / Case RUM DIARY | http://t.co/QJzla6oon0 | #nexus #nexus10 #nexus7 #sleeve #leather # #rumdiary #bio #organic
33	Wed Nov 06 01:57:26 +0000 2013	397905531186061312			"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	1	0			RT @iPhoneHackx: Amazon Kindle Fire HDX beats iPad Air and Nexus 10 in Display Shootout http://t.co/qivmxlICIu #KindleFire #iPadAir #Nexus10
34	Wed Nov 06 01:30:38 +0000 2013	397898788217831424			"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>"	False	1	1			Amazon Kindle Fire HDX beats iPad Air and Nexus 10 in Display Shootout http://t.co/qivmxlICIu #KindleFire #iPadAir #Nexus10
35	Wed Nov 06 01:03:59 +0000 2013	397892080212512768			"<a href=""http://twirobo.com/"" rel=""nofollow"">twiroboJP</a>"	False	0	0			"Nexus7,Nexus10,Nexus4日本語オンラインマニュアル。
http://t.co/QAihuYV79p
知っておくと便利かもよ。"
